Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01-Positive_Login,,,,2023-04-29 22:51:31,2023-04-29 22:57:36,"6m - 4,674s",FAILED
,,,,,,,
Test Cases/SK01-Login/Positive Case/TC002-Login_Registered_User,,,,2023-04-29 22:51:32,2023-04-29 22:53:08,"1m - 35,352s",PASSED
"startApplication(""E:\Android-MyDemoAppRN.1.2.0.build-231_2.apk"", true)",,,,2023-04-29 22:51:34,2023-04-29 22:52:44,"1m - 9,839s",PASSED
"tap(findTestObject(""P01-Product/btn-burgerMenu""), 0)",,,,2023-04-29 22:52:44,2023-04-29 22:52:47,"2,581s",PASSED
"scrollToText(""Log In"")",,,,2023-04-29 22:52:47,2023-04-29 22:52:50,"3,674s",PASSED
"tap(findTestObject(""P01-Product/btn-BurgerMenu_login""), 0)",,,,2023-04-29 22:52:50,2023-04-29 22:52:52,"1,388s",PASSED
"setText(findTestObject(""P02-Login/editText-usernameLogin""), ""bob@example.com"", 0)",,,,2023-04-29 22:52:52,2023-04-29 22:52:56,"4,098s",PASSED
"setEncryptedText(findTestObject(""P02-Login/editText-passwordLogin""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-04-29 22:52:56,2023-04-29 22:52:57,"1,485s",PASSED
"tap(findTestObject(""P02-Login/btn-login""), 0)",,,,2023-04-29 22:52:57,2023-04-29 22:52:58,"0,902s",PASSED
"verifyElementText(findTestObject(""P01-Product/textView-titleProductPage""), ""Products"")",,,,2023-04-29 22:52:58,2023-04-29 22:53:02,"3,421s",PASSED
closeApplication(),,,,2023-04-29 22:53:02,2023-04-29 22:53:08,"6,150s",PASSED
,,,,,,,
Test Cases/SK01-Login/Positive Case/TC003-Login_Locked_User,,,,2023-04-29 22:56:34,2023-04-29 22:57:36,"1m - 1,792s",FAILED
"startApplication(""E:\Android-MyDemoAppRN.1.2.0.build-231_2.apk"", true)",,,,2023-04-29 22:56:34,2023-04-29 22:57:20,"45,995s",PASSED
"tap(findTestObject(""P01-Product/btn-burgerMenu""), 0)",,,,2023-04-29 22:57:20,2023-04-29 22:57:22,"1,538s",PASSED
"scrollToText(""Log In"")",,,,2023-04-29 22:57:22,2023-04-29 22:57:25,"3,431s",PASSED
"tap(findTestObject(""P01-Product/btn-BurgerMenu_login""), 0)",,,,2023-04-29 22:57:25,2023-04-29 22:57:26,"1,319s",PASSED
"setText(findTestObject(""P02-Login/editText-usernameLogin""), ""alice@example.com"", 0)",,,,2023-04-29 22:57:26,2023-04-29 22:57:31,"4,336s",PASSED
"setEncryptedText(findTestObject(""P02-Login/editText-passwordLogin""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-04-29 22:57:31,2023-04-29 22:57:32,"1,477s",PASSED
"tap(findTestObject(""P02-Login/btn-login""), 0)",,,,2023-04-29 22:57:32,2023-04-29 22:57:33,"0,847s",PASSED
"verifyElementText(findTestObject(""P02-Login/textView-warningLockedUser""), ""Sorry, this user has been locked out"")",,,,2023-04-29 22:57:33,2023-04-29 22:57:36,"2,817s",FAILED
